,City,Latitude,Longitude,Maximum_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,hithadhoo,-0.6,73.0833,81.1,78.0,97.0,8.68,MV,1627429867.0
1,norman wells,65.282,-126.8329,69.84,46.0,75.0,5.75,CA,1627430012.0
2,samarai,-10.6167,150.6667,78.62,87.0,86.0,13.15,PG,1627430014.0
3,mys shmidta,,,,,,,,
4,longyearbyen,78.2186,15.6401,42.64,93.0,75.0,11.5,SJ,1627430016.0
5,ushuaia,-54.8,-68.3,37.06,93.0,90.0,5.75,AR,1627429813.0
6,atlantic city,39.3643,-74.4229,86.25,66.0,1.0,8.05,US,1627429948.0
7,gigmoto,13.7796,124.39,83.59,79.0,100.0,15.61,PH,1627430020.0
8,cape town,-33.9258,18.4232,52.88,88.0,20.0,2.3,ZA,1627429860.0
9,saint-philippe,-21.3585,55.7679,65.79,89.0,56.0,11.74,RE,1627430022.0
10,moyale,3.5167,39.0584,65.07,68.0,79.0,16.67,KE,1627430024.0
11,albany,42.6001,-73.9662,69.75,85.0,67.0,1.7,US,1627429837.0
12,mataura,-46.1927,168.8643,51.48,77.0,51.0,0.78,NZ,1627429837.0
13,kruisfontein,-34.0033,24.7314,52.88,87.0,9.0,16.22,ZA,1627430027.0
14,butaritari,3.0707,172.7902,81.59,70.0,98.0,2.1,KI,1627430029.0
15,kamenskoye,,,,,,,,
16,hami,42.8,93.45,86.11,18.0,2.0,7.87,CN,1627430031.0
17,jamestown,42.097,-79.2353,75.02,72.0,75.0,1.99,US,1627430032.0
18,mwingi,-0.9344,38.0601,60.85,81.0,58.0,7.49,KE,1627430034.0
19,vaini,-21.2,-175.2,68.16,94.0,75.0,5.75,TO,1627430035.0
20,saldanha,-33.0117,17.9442,55.45,75.0,100.0,8.1,ZA,1627429906.0
21,nizhneyansk,,,,,,,,
22,pitimbu,-7.4706,-34.8086,75.79,84.0,2.0,9.19,BR,1627430039.0
23,bethel,41.3712,-73.414,81.12,67.0,75.0,4.0,US,1627430040.0
24,punta arenas,-53.15,-70.9167,44.71,81.0,75.0,19.57,CL,1627429819.0
25,san patricio,28.017,-97.5169,93.92,51.0,83.0,12.71,US,1627430042.0
26,kapaa,22.0752,-159.319,84.18,79.0,100.0,3.0,US,1627430044.0
27,hermanus,-34.4187,19.2345,54.81,75.0,90.0,14.7,ZA,1627430045.0
28,bargal,,,,,,,,
29,taolanaro,,,,,,,,
30,busselton,-33.65,115.3333,47.05,76.0,97.0,14.61,AU,1627430049.0
31,cabo san lucas,22.8909,-109.9124,96.62,67.0,43.0,11.79,MX,1627429900.0
32,ewa beach,21.3156,-158.0072,86.02,58.0,75.0,12.66,US,1627430051.0
33,limbe,4.0242,9.2149,76.05,82.0,68.0,7.02,CM,1627430052.0
34,saskylakh,71.9167,114.0833,60.67,53.0,16.0,19.17,RU,1627430054.0
35,hobart,-42.8794,147.3294,56.26,78.0,40.0,3.0,AU,1627430055.0
36,vaitupu,,,,,,,,
37,port alfred,-33.5906,26.891,62.02,85.0,14.0,14.43,ZA,1627430057.0
38,camargo,27.6667,-105.1667,94.32,14.0,7.0,7.85,MX,1627430059.0
39,mahebourg,-20.4081,57.7,69.26,88.0,98.0,16.31,MU,1627430060.0
40,borama,,,,,,,,
41,hilo,19.7297,-155.09,77.25,93.0,46.0,3.0,US,1627430062.0
42,cayambe,0.05,-78.1333,52.86,86.0,79.0,4.07,EC,1627430064.0
43,new norfolk,-42.7826,147.0587,55.92,64.0,95.0,11.21,AU,1627430065.0
44,ponta do sol,32.6667,-17.1,73.0,72.0,8.0,5.35,PT,1627430066.0
45,laguna,38.421,-121.4238,102.63,25.0,1.0,1.99,US,1627429846.0
46,thompson,55.7435,-97.8558,75.36,50.0,90.0,10.36,CA,1627429818.0
47,pasinler,39.9803,41.6764,58.19,85.0,1.0,3.36,TR,1627430070.0
48,dongsheng,39.8161,109.9776,71.71,43.0,100.0,5.1,CN,1627430071.0
49,bluff,-46.6,168.3333,51.8,71.0,19.0,12.55,NZ,1627430073.0
50,avarua,-21.2078,-159.775,77.05,61.0,79.0,5.75,CK,1627430074.0
51,barentsburg,,,,,,,,
52,sitka,57.0531,-135.33,58.89,82.0,75.0,0.0,US,1627429931.0
53,hambantota,6.1241,81.1185,79.61,82.0,99.0,16.44,LK,1627430077.0
54,warrington,53.3925,-2.5802,61.99,96.0,96.0,4.76,GB,1627430079.0
55,pionki,51.476,21.4499,71.28,57.0,47.0,5.06,PL,1627430080.0
56,illoqqortoormiut,,,,,,,,
57,port blair,11.6667,92.75,81.68,84.0,98.0,18.54,IN,1627430083.0
58,murgab,37.4966,61.9714,75.07,33.0,0.0,6.91,TM,1627430084.0
59,lodja,-3.4833,23.4333,69.15,40.0,55.0,2.24,CD,1627430085.0
60,point fortin,10.1833,-61.6833,80.85,83.0,59.0,11.16,TT,1627430087.0
61,pakxan,18.3778,103.6601,76.15,95.0,99.0,1.36,LA,1627430088.0
62,grand river south east,,,,,,,,
63,provideniya,64.3833,-173.3,50.11,87.0,90.0,15.66,RU,1627430090.0
64,skjervoy,70.0311,20.9714,48.24,93.0,79.0,1.45,NO,1627430092.0
65,hovd,48.0056,91.6419,66.97,46.0,0.0,2.86,MN,1627430093.0
66,aketi,2.7388,23.7833,74.8,72.0,100.0,1.48,CD,1627429818.0
67,ipora,-16.4419,-51.1178,71.62,37.0,5.0,2.37,BR,1627430095.0
68,ilulissat,69.2167,-51.1,47.48,82.0,100.0,6.02,GL,1627430097.0
69,yulara,-25.2406,130.9889,60.64,55.0,90.0,0.0,AU,1627430098.0
70,chokurdakh,70.6333,147.9167,44.67,59.0,100.0,11.74,RU,1627429813.0
71,katsuura,35.1333,140.3,84.31,80.0,93.0,17.6,JP,1627430100.0
72,andra,62.5147,65.8878,42.4,76.0,49.0,4.83,RU,1627430103.0
73,thoen,17.6129,99.2161,71.56,94.0,100.0,2.46,TH,1627430104.0
74,dikson,73.5069,80.5464,38.1,99.0,100.0,16.2,RU,1627429839.0
75,acarau,-2.8856,-40.12,78.51,81.0,43.0,15.39,BR,1627429950.0
76,rikitea,-23.1203,-134.9692,74.53,78.0,100.0,13.35,PF,1627430108.0
77,sabang,5.8933,95.3214,82.85,76.0,51.0,19.8,ID,1627430109.0
78,beyneu,45.3167,55.2,78.62,22.0,99.0,8.59,KZ,1627430111.0
79,callaway,30.153,-85.5699,82.33,81.0,1.0,4.0,US,1627430112.0
80,qaanaaq,77.484,-69.3632,42.01,99.0,100.0,7.02,GL,1627430113.0
81,buraydah,26.326,43.975,95.45,16.0,3.0,10.54,SA,1627429987.0
82,boyolangu,-8.1181,111.8935,75.15,83.0,64.0,5.64,ID,1627430116.0
83,atuona,-9.8,-139.0333,78.22,65.0,13.0,16.93,PF,1627429959.0
84,kaitangata,-46.2817,169.8464,52.93,54.0,86.0,3.13,NZ,1627430118.0
85,geraldton,-28.7667,114.6,58.12,88.0,90.0,10.36,AU,1627429830.0
86,petropavlovsk-kamchatskiy,53.0452,158.6483,75.79,53.0,0.0,13.42,RU,1627430121.0
87,hosakote,14.2769,77.1699,71.01,82.0,81.0,18.43,IN,1627430122.0
88,talnakh,69.4865,88.3972,65.05,88.0,92.0,6.26,RU,1627430123.0
89,minusinsk,53.7103,91.6875,59.02,88.0,100.0,7.7,RU,1627430125.0
90,pueblo nuevo,23.3833,-105.3833,61.34,84.0,57.0,2.8,MX,1627430126.0
91,manokwari,-0.8667,134.0833,81.79,72.0,79.0,2.57,ID,1627430127.0
92,odesskoye,54.2111,72.9651,55.17,72.0,44.0,6.51,RU,1627430129.0
93,barrow,71.2906,-156.7887,44.62,87.0,90.0,18.41,US,1627429841.0
94,namatanai,-3.6667,152.4333,84.88,66.0,37.0,4.9,PG,1627430131.0
95,iqaluit,63.7506,-68.5145,53.33,50.0,75.0,11.01,CA,1627430054.0
96,atar,20.5169,-13.0499,92.05,22.0,81.0,6.15,MR,1627430133.0
97,pemangkat,1.1667,108.9667,80.19,85.0,99.0,8.03,ID,1627430135.0
98,mustasaari,63.1142,21.6822,68.9,72.0,0.0,3.44,FI,1627430136.0
99,nikolskoye,59.7035,30.7861,65.01,66.0,93.0,4.54,RU,1627430137.0
100,kazanka,47.8462,32.8218,71.91,45.0,5.0,4.54,UA,1627430139.0
101,dingle,10.9995,122.6711,83.28,78.0,95.0,13.91,PH,1627429887.0
102,srednekolymsk,67.45,153.6833,37.96,95.0,100.0,10.11,RU,1627430141.0
