City,Latitude,Longitude,Maximum_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
port elizabeth,-33.918,25.5701,52.09,66.0,0.0,6.91,ZA,1627771881.0
yellowknife,62.456,-114.3525,82.92,44.0,20.0,11.5,CA,1627771847.0
kodiak,57.79,-152.4072,57.11,83.0,99.0,8.08,US,1627772023.0
itoman,26.1247,127.6694,82.78,96.0,75.0,16.11,JP,1627772023.0
kapaa,22.0752,-159.319,86.32,67.0,20.0,3.0,US,1627771843.0
attawapiskat,,,,,,,,
port alfred,-33.5906,26.891,65.86,34.0,100.0,7.94,ZA,1627772024.0
surgut,61.25,73.4167,48.38,100.0,20.0,0.0,RU,1627772024.0
lebu,-37.6167,-73.65,47.57,85.0,2.0,14.09,CL,1627772025.0
vaini,-21.2,-175.2,77.16,78.0,40.0,20.71,TO,1627772025.0
punta arenas,-53.15,-70.9167,39.31,65.0,0.0,18.41,CL,1627771945.0
berdigestyakh,62.0989,126.6992,70.39,42.0,0.0,0.72,RU,1627772026.0
vostok,46.4856,135.8833,74.97,66.0,63.0,2.89,RU,1627772026.0
rikitea,-23.1203,-134.9692,70.5,72.0,11.0,11.41,PF,1627771822.0
hithadhoo,-0.6,73.0833,80.62,74.0,63.0,4.94,MV,1627772026.0
mentok,,,,,,,,
kyabe,9.4515,18.9449,71.8,92.0,99.0,3.6,TD,1627772027.0
russell,32.3502,-85.1999,88.83,83.0,20.0,0.0,US,1627772027.0
hilo,19.7297,-155.09,81.25,81.0,55.0,7.0,US,1627772028.0
qaanaaq,77.484,-69.3632,41.68,87.0,93.0,4.27,GL,1627772028.0
potot,12.2035,123.4319,83.43,77.0,94.0,13.44,PH,1627772028.0
hermanus,-34.4187,19.2345,53.91,88.0,100.0,6.02,ZA,1627771815.0
airai,-8.9266,125.4092,61.25,74.0,57.0,2.93,TL,1627772029.0
taolanaro,,,,,,,,
castro,-24.7911,-50.0119,47.32,76.0,98.0,4.21,BR,1627771813.0
dikson,73.5069,80.5464,43.23,99.0,100.0,13.47,RU,1627771811.0
prince rupert,54.3161,-130.3201,60.49,93.0,90.0,9.22,CA,1627772030.0
ushuaia,-54.8,-68.3,42.46,65.0,75.0,11.5,AR,1627772030.0
tuatapere,-46.1333,167.6833,48.81,95.0,100.0,2.19,NZ,1627771850.0
burns lake,54.2331,-125.7533,87.22,19.0,0.0,3.29,CA,1627772031.0
kahului,20.8947,-156.47,86.02,63.0,20.0,20.71,US,1627772031.0
sao joao batista,-27.2761,-48.8494,60.66,93.0,74.0,0.36,BR,1627772032.0
